title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity
Cool Runnings,6.989,1847,1993-10-01,154856263,98,14000000,15.821,"['Comedy', 'Adventure', 'Drama']",4,120.0,0.4038684338041698,0.3230947,0.4038684,0.3230947
Welcome to Mooseport,5.1,150,2004-02-24,14000000,110,30000000,8.166,['Comedy'],4,120.0,0.1031491867063783,0.1031492,0.1031492,0.1031492
Us,6.97,6776,2019-03-14,256067149,116,20000000,25.853,"['Horror', 'Thriller', 'Mystery']",4,150.0,0.5952395323085576,0.2380958,0.5952395,0.3571437
No End in Sight,7.68,75,2007-07-27,1431623,102,2000000,5.638,['Documentary'],4,120.0,1e-06,4e-07,4e-07,1e-06
The Haunting in Connecticut,6.184,1016,2009-03-27,77527732,102,10000000,15.901,"['Thriller', 'Horror']",4,120.0,0.4059604768065004,0.1623842,0.4059605,0.1623842
My Bloody Valentine,5.517,1047,2009-01-16,102836002,101,15000000,19.125,"['Mystery', 'Horror']",4,120.0,0.480655159739904,0.1922621,0.4806552,0.3845241
Wait Until Dark,7.4,465,1967-10-26,11000000,108,4000000,17.998,['Thriller'],4,120.0,0.4564784497787037,0.1825914,0.4564784,0.1825914
Treehouse,4.338,68,2014-10-20,3250000,96,3250000,5.051,"['Thriller', 'Horror', 'Mystery']",4,120.0,1e-06,4e-07,1e-06,6e-07
Wicker Park,6.85,625,2004-09-03,13001257,114,30000000,16.629,"['Drama', 'Mystery', 'Romance', 'Thriller']",4,120.0,0.4244064574829483,0.1697626,0.4244065,0.3395252
The Way Back,6.618,1010,2020-03-05,14590514,107,23000000,9.852,['Drama'],4,120.0,0.1941468619581348,0.0776587,0.1941469,0.1941469
